LMFA01010009,Pelargonic acid,nonanoic acid,C9H18O2   ,158.1307,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010010,Capric acid,decanoic acid,C10H20O2   ,172.1463,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010011,Undecylic acid,undecanoic acid,C11H22O2   ,186.162,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010012,Lauric acid,dodecanoic acid,C12H24O2   ,200.1776,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010013,Tridecylic acid,tridecanoic acid,C13H26O2   ,214.1933,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010014,Myristic acid,tetradecanoic acid,C14H28O2   ,228.2089,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010015,Pentadecylic acid,pentadecanoic acid,C15H30O2   ,242.2246,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010017,Margaric acid,heptadecanoic acid,C17H34O2   ,270.2559,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010018,Stearic acid,octadecanoic acid,C18H36O2   ,284.2715,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010019,Nonadecylic acid,nonadecanoic acid,C19H38O2   ,298.2872,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010020,Arachidic acid,Eicosanoic acid,C20H40O2   ,312.3028,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010021,-,heneicosanoic acid,C21H42O2   ,326.3185,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010022,Behenic acid,docosanoic acid,C22H44O2   ,340.3341,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010023,-,tricosanoic acid,C23H46O2   ,354.3498,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010024,Lignoceric acid,tetracosanoic acid,C24H48O2   ,368.3654,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010025,-,pentacosanoic acid,C25H50O2   ,382.3811,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010026,Cerotic acid,hexacosanoic acid,C26H52O2   ,396.3967,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010027,Carboceric acid,heptacosanoic acid,C27H54O2   ,410.4124,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010028,Montanic acid,octacosanoic acid,C28H56O2   ,424.428,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010029,-,nonacosanoic acid,C29H58O2   ,438.4437,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010030,Melissic acid,triacontanoic acid,C30H60O2   ,452.4593,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010031,-,hentriacontanoic acid,C31H62O2   ,466.475,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010032,Lacceroic acid,dotriacontanoic acid,C32H64O2   ,480.4906,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010033,Psyllic acid,tritriacontanoic acid,C33H66O2   ,494.5063,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010034,Gheddic acid,tetratriacontanoic acid,C34H68O2   ,508.5219,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010035,Ceroplastic acid,pentatriacontanoic acid,C35H70O2   ,522.5376,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010036,Hexatriacontylic acid,hexatriacontanoic acid,C36H72O2   ,536.5532,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010037,-,heptatriacontanoic acid,C37H74O2   ,550.5689,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010038,-,octatriacontanoic acid,C38H76O2   ,564.5845,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010039,-,hexatetracontanoic acid,C46H92O2   ,676.7097,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010043,Lauric acid(d3),Dodecanoic acid(d3),C12H21D3O2   ,203.1962,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010044,Myristic acid(d3),Tetradecanoic acid(d3),C14H25D3O2   ,231.2275,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010045,Pentadecylic acid(d3),Pentadecanoic acid(d3),C15H27D3O2   ,245.2431,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010046,Palmitic acid(d3),Hexadecanoic acid(d3),C16H29D3O2   ,259.2588,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010047,Stearic acid(d3),Octadecanoic acid(d3),C18H33D3O2   ,287.2901,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010048,Margaric acid(d3),Heptadecanoic acid(d3),C17H31D3O2   ,273.2744,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010049,Arachidic acid(d3),Eicosanoic acid(d3),C20H37D3O2   ,315.3214,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010050,Behenic acid(d3),Docosanoic acid(d3),C22H41D3O2   ,343.3527,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010051,Lignoceric acid(d3),Tetracosanoic acid(d3),C24H45D3O2   ,371.384,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010052,Cerotic acid(d3),Hexacosanoic acid(d3),C26H49D3O2   ,399.4153,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01010053,-,"3R,5S-Dimethyldodecanoic acid",C14H28O2   ,228.2089,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Straight chain fatty acids [FA0101]
LMFA01020001,-,17-methyl-6Z-octadecenoic acid,C19H36O2   ,296.2715,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Branched fatty acids [FA0102]
LMFA01020002,(+)-6-methyl caprylic acid,6-methyl-octanoic acid,C9H18O2   ,158.1307,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Branched fatty acids [FA0102]
LMFA01020003,7-methyl caprylic acid,7-methyl-octanoic acid,C9H18O2   ,158.1307,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Branched fatty acids [FA0102]
LMFA01020004,Isolauric acid,10-methyl-undecanoic acid,C12H24O2   ,200.1776,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Branched fatty acids [FA0102]
LMFA01020005,(+)-10-methyl lauric acid,10-methyl-dodecanoic acid,C13H26O2   ,214.1933,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Branched fatty acids [FA0102]
LMFA01020006,Isoundecylic acid,11-methyl-dodecanoic acid,C13H26O2   ,214.1933,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Branched fatty acids [FA0102]
LMFA01020007,(+)-Isomyristic acid,12-methyl-tridecanoic acid,C14H28O2   ,228.2089,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Branched fatty acids [FA0102]
LMFA01020008,(+)-12-methyl myristic acid,12-methyl-tetradecanoic acid,C15H30O2   ,242.2246,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Branched fatty acids [FA0102]
LMFA01020009,Isopentadecylic acid,13-methyl-tetradecanoic acid,C15H30O2   ,242.2246,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Branched fatty acids [FA0102]
LMFA01020010,Isopalmitic acid,14-methyl-pentadecanoic acid,C16H32O2   ,256.2402,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Branched fatty acids [FA0102]
LMFA01020011,(+)-14-methyl palmitic acid,14-methyl-hexadecanoic acid,C17H34O2   ,270.2559,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Branched fatty acids [FA0102]
LMFA01020012,15-methyl palmitic acid,15-methyl-hexadecanoic acid,C17H34O2   ,270.2559,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Branched fatty acids [FA0102]
LMFA01020013,-,10-methyl-heptadecanoic acid,C18H36O2   ,284.2715,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Branched fatty acids [FA0102]
LMFA01020014,(+)-Isostearic acid,16-methyl-heptadecanoic acid,C18H36O2   ,284.2715,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Branched fatty acids [FA0102]
LMFA01020015,Tuberculostearic acid,10R-methyl-octadecanoic acid,C19H38O2   ,298.2872,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Branched fatty acids [FA0102]
LMFA01020016,(+)-16-methyl stearic acid,16-methyl-octadecanoic acid,C19H38O2   ,298.2872,Fatty Acyls [FA],Fatty Acids and Conjugates [FA01],Branched fatty acids [FA0102]
