0,0,0,C22H16O15S               
0,0,0,C22H16O4               
0,0,0,C22H16O5               
0,0,0,C22H16O6               
0,0,0,C22H16O7               
0,0,0,C22H16O8               
0,0,0,C22H16O9               
0,0,0,C22H18O10               
0,0,0,C22H18O11               
0,0,0,C22H18O4               
0,0,0,C22H18O5               
0,0,0,C22H18O6               
0,0,0,C22H18O7               
0,0,0,C22H18O8               
0,0,0,C22H18O9               
0,0,0,C22H20O10               
0,0,0,C22H20O11               
0,0,0,C22H20O12               
0,0,0,C22H20O13               
0,0,0,C22H20O14               
0,0,0,C22H20O15S               
0,0,0,C22H20O16S               
0,0,0,C22H20O18S2               
0,0,0,C22H20O22S3               
0,0,0,C22H20O4               
0,0,0,C22H20O5               
0,0,0,C22H20O6               
0,0,0,C22H20O7               
0,0,0,C22H20O8               
0,0,0,C22H20O9               
0,0,0,C22H21O15S               
0,0,0,C22H22O10               
0,0,0,C22H22O11               
0,0,0,C22H22O12               
0,0,0,C22H22O13               
0,0,0,C22H22O14S               
0,0,0,C22H22O15S               
0,0,0,C22H22O16S               
0,0,0,C22H22O5               
0,0,0,C22H22O6               
0,0,0,C22H22O7               
0,0,0,C22H22O8               
0,0,0,C22H22O9               
0,0,0,C22H23NO11               
0,0,0,C22H23O10               
0,0,0,C22H23O11               
0,0,0,C22H23O12               
0,0,0,C22H24O10               
0,0,0,C22H24O11               
0,0,0,C22H24O12               
0,0,0,C22H24O13               
0,0,0,C22H24O3               
0,0,0,C22H24O4               
0,0,0,C22H24O5               
0,0,0,C22H24O6               
0,0,0,C22H24O7               
0,0,0,C22H24O8               
0,0,0,C22H24O9               
0,0,0,C22H26O10               
0,0,0,C22H26O11               
0,0,0,C22H26O3               
0,0,0,C22H26O4               
0,0,0,C22H26O5               
0,0,0,C22H26O6               
0,0,0,C22H26O7               
0,0,0,C22H26O9               
0,0,0,C22H28O4               
0,0,0,C23H16O5               
0,0,0,C23H18O11               
0,0,0,C23H18O7               
0,0,0,C23H18O8               
0,0,0,C23H18O9               
0,0,0,C23H20O10               
0,0,0,C23H20O11               
0,0,0,C23H20O13               
0,0,0,C23H20O14               
0,0,0,C23H20O5               
0,0,0,C23H20O6               
0,0,0,C23H20O7               
0,0,0,C23H20O8               
0,0,0,C23H20O9               
0,0,0,C23H21O14               
0,0,0,C23H22O10               
0,0,0,C23H22O11               
0,0,0,C23H22O12               
0,0,0,C23H22O13               
0,0,0,C23H22O14               
0,0,0,C23H22O5               
0,0,0,C23H22O6               
0,0,0,C23H22O7               
0,0,0,C23H22O8               
0,0,0,C23H22O9               
0,0,0,C23H23O11               
0,0,0,C23H23O12               
0,0,0,C23H23O13               
0,0,0,C23H24O10               
0,0,0,C23H24O11               
0,0,0,C23H24O12               
0,0,0,C23H24O13               
0,0,0,C23H24O14               
0,0,0,C23H24O5               
0,0,0,C23H24O6               
0,0,0,C23H24O7               
0,0,0,C23H24O8               
0,0,0,C23H24O9               
0,0,0,C23H25O11               
0,0,0,C23H25O12               
0,0,0,C23H26O10               
0,0,0,C23H26O11               
0,0,0,C23H26O12               
0,0,0,C23H26O6               
0,0,0,C23H26O7               
0,0,0,C23H26O8               
0,0,0,C23H26O9               
0,0,0,C23H28O10               
0,0,0,C23H28O4               
0,0,0,C23H28O9               
0,0,0,C26H20O7               
0,0,0,C26H22O7               
0,0,0,C26H24O14               
0,0,0,C26H24O15               
0,0,0,C26H24O5               
0,0,0,C26H24O6               
0,0,0,C26H24O7               
0,0,0,C26H25O14               
0,0,0,C26H26O10               
0,0,0,C26H26O12               
0,0,0,C26H26O13               
0,0,0,C26H26O5               
0,0,0,C26H26O6               
0,0,0,C26H26O7               
0,0,0,C26H26O8               
0,0,0,C26H27O15               
0,0,0,C26H28O10               
0,0,0,C26H28O11               
0,0,0,C26H28O12               
0,0,0,C26H28O13               
0,0,0,C26H28O14               
0,0,0,C26H28O15               
0,0,0,C26H28O16               
0,0,0,C26H28O17               
0,0,0,C26H28O3               
0,0,0,C26H28O4               
0,0,0,C26H28O5               
0,0,0,C26H28O6               
0,0,0,C26H28O7               
0,0,0,C26H28O8               
0,0,0,C26H29NO6               
0,0,0,C26H29O14               
0,0,0,C26H29O15               
0,0,0,C26H29O16               
0,0,0,C26H30O10               
0,0,0,C26H30O11               
0,0,0,C26H30O12               
0,0,0,C26H30O13               
0,0,0,C26H30O14               
0,0,0,C26H30O15               
0,0,0,C26H30O4               
0,0,0,C26H30O5               
0,0,0,C26H30O6               
0,0,0,C26H30O7               
0,0,0,C26H30O9               
0,0,0,C26H32O12               
0,0,0,C26H32O4               
0,0,0,C26H32O5               
0,0,0,C26H32O6               
0,0,0,C26H32O7               
0,0,0,C26H32O8               
0,0,0,C27H22O14               
0,0,0,C27H22O14               
0,0,0,C27H22O15               
0,0,0,C27H22O15               
0,0,0,C27H23O16               
0,0,0,C27H23O16               
0,0,0,C27H25O17               
0,0,0,C27H25O17               
0,0,0,C27H26O11               
0,0,0,C27H26O11               
0,0,0,C27H26O14               
0,0,0,C27H26O14               
0,0,0,C27H26O15               
0,0,0,C27H26O15               
