H:C,O:C
1.90697674419,0.232558139535
1.97435897436,0.205128205128
1.97142857143,0.228571428571
1.97297297297,0.216216216216
1.97959183673,0.163265306122
1.98039215686,0.156862745098
1.95238095238,0.285714285714
1.85714285714,0.285714285714
1.94736842105,0.315789473684
1.76271186441,0.186440677966
1.76271186441,0.203389830508
1.76271186441,0.220338983051
2.0652173913,0.239130434783
1.94736842105,0.368421052632
1.8,0.8
2.0,0.242424242424
1.94871794872,0.205128205128
1.82222222222,0.177777777778
1.76470588235,0.156862745098
1.95238095238,0.190476190476
2.0,0.181818181818
1.81818181818,0.181818181818
1.94871794872,0.205128205128
2.0,0.285714285714
2.0,0.235294117647
2.0,0.222222222222
1.94444444444,0.222222222222
1.88888888889,0.222222222222
2.0,0.216216216216
2.0,0.210526315789
2.0,0.205128205128
2.0,0.2
2.0,0.19512195122
2.0,0.190476190476
2.0,0.186046511628
2.0,0.363636363636
2.0,0.266666666667
2.0,0.222222222222
2.0,0.210526315789
2.0,0.205128205128
2.0,0.2
2.0,0.19512195122
2.0,0.190476190476
2.0,0.186046511628
2.0,0.181818181818
2.0,0.25
2.0,0.235294117647
2.0,0.222222222222
2.0,0.210526315789
1.94736842105,0.210526315789
2.0,0.363636363636
2.0,0.2
2.0,0.190476190476
1.71428571429,0.190476190476
2.0,0.186046511628
2.0,0.181818181818
2.0,0.173913043478
2.0,0.235294117647
2.0,0.222222222222
2.0,0.210526315789
2.0,0.2
2.0,0.19512195122
2.0,0.190476190476
2.0,0.181818181818
2.0,0.173913043478
2.0,0.235294117647
2.0,0.222222222222
2.0,0.216216216216
2.0,0.210526315789
1.94736842105,0.210526315789
2.0,0.2
1.95,0.2
1.95,0.2
1.9,0.2
1.9,0.2
1.85,0.2
1.8,0.2
1.8,0.2
2.0,0.333333333333
2.0,0.190476190476
1.80952380952,0.190476190476
1.7619047619,0.190476190476
2.0,0.181818181818
1.72727272727,0.181818181818
2.0,0.173913043478
1.95652173913,0.173913043478
2.0,0.166666666667
1.88888888889,0.222222222222
1.88888888889,0.222222222222
2.0,0.222222222222
2.0,0.210526315789
2.0,0.205128205128
1.94871794872,0.205128205128
2.0,0.2
2.0,0.19512195122
1.9512195122,0.19512195122
1.90243902439,0.19512195122
2.0,0.190476190476
2.0,0.181818181818
2.0,0.222222222222
2.0,0.210526315789
2.0,0.205128205128
2.0,0.2
1.95,0.2
1.8,0.2
2.0,0.19512195122
1.9512195122,0.19512195122
2.0,0.190476190476
1.95238095238,0.190476190476
1.95238095238,0.190476190476
1.95238095238,0.190476190476
1.95238095238,0.190476190476
1.95238095238,0.190476190476
1.90476190476,0.190476190476
1.90476190476,0.190476190476
1.90476190476,0.190476190476
1.90476190476,0.190476190476
1.90476190476,0.190476190476
1.90476190476,0.190476190476
